"","Country","Divison","ISO 3 Letter","iso3num","Self_employed_total","Employed_total","Divison_total","female_employed_total","female_self_employed_total","male_self_employed_total","male_employed_total","female_self_employed_percent_divison","female_employed_percent_divison","male_self_employed_percent_divison","male_employed_percent_divison","female_self_employed_percent_slf","male_self_employed_percent_slf","female_employed_percent_ees","male_employed_percent_ees"
"46","Azerbaijan","55-68","AZE",31,NA,18370,NA,5063,NA,NA,13307,NA,NA,NA,NA,NA,NA,27.5612411540555,72.4387588459445
"47","Azerbaijan","56","AZE",31,NA,25052,NA,7950,NA,NA,17102,NA,NA,NA,NA,NA,NA,31.7339932939486,68.2660067060514
"48","Azerbaijan","79","AZE",31,NA,1978,NA,1006,NA,NA,972,NA,NA,NA,NA,NA,NA,50.8594539939333,49.1405460060667
"49","Bahamas","55-68","BHS",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Bahamas","56","BHS",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Bahamas","79","BHS",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Bahrain","55-68","BHR",48,NA,NA,13986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Bahrain","56","BHR",48,NA,NA,76146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Bahrain","79","BHR",48,NA,NA,5857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Belize","55-68","BLZ",84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Belize","56","BLZ",84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Belize","79","BLZ",84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Brunei Darussalam","55-68","BRN",96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Brunei Darussalam","56","BRN",96,2005.91756415368,11166.2029584647,13172.1205226183,4270.508746624,1375.88409709931,630.033467054367,6895.69421184063,10.4454259641546,32.4208143957609,4.78308307286224,52.3506765672226,68.5912582693702,31.4087417306297,38.2449500739792,61.7550499260205
"60","Brunei Darussalam","79","BRN",96,90,344,434,138,NA,NA,206,NA,31.7972350230415,NA,47.4654377880184,NA,NA,40.1162790697674,59.8837209302326
"61","Chile","55-68","CHL",152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Chile","56","CHL",152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Chile","79","CHL",152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Colombia","55-68","COL",170,NA,NA,419194.91453698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Colombia","56","COL",170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Colombia","79","COL",170,NA,NA,36962.5387589542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Comoros","55-68","COM",174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Comoros","56","COM",174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Comoros","79","COM",174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Costa Rica","55-68","CRI",188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Costa Rica","56","CRI",188,52042.5,55133.75,107176.25,34312.25,38741,13301.5,20821.5,36.1470008514013,32.014788724181,12.410865280321,19.4273451440968,74.4410818081376,25.5589181918624,62.234565941914,37.765434058086
"72","Costa Rica","79","CRI",188,1199.75,5530.5,6730.25,1983.5,128.75,1071,3547,1.91300471750678,29.4714163664054,15.9132275918428,52.702351324245,10.7314023754949,89.2685976245051,35.8647500226019,64.135249977398
"73","Croatia","55-68","HRV",191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Croatia","56","HRV",191,NA,NA,58543.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Croatia","79","HRV",191,NA,NA,5681.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Cyprus","55-68","CYP",196,811,18088,18899,9651,183,628,8437,0.968305201333404,51.0661939785174,3.32292713900206,44.6425736811472,22.5647348951911,77.4352651048089,53.3558160106148,46.6441839893852
"77","Cyprus","56","CYP",196,2658,17809,20467,8935,942,1716,8873,4.60253090340548,43.6556407876093,8.38422826989788,43.3527141251771,35.4401805869075,64.5598194130926,50.1712617216014,49.8231231399854
"78","Cyprus","79","CYP",196,225,1192,1417,485,152,73,706,10.726887791108,34.227240649259,5.15172900494001,49.8235709244884,67.5555555555556,32.4444444444444,40.6879194630872,59.2281879194631
"79","El Salvador","55-68","SLV",222,NA,NA,NA,4668.66666666667,NA,NA,7963.91666666667,NA,NA,NA,NA,NA,NA,NA,NA
"80","El Salvador","56","SLV",222,NA,NA,NA,16509.75,NA,NA,16993,NA,NA,NA,NA,NA,NA,NA,NA
"81","El Salvador","79","SLV",222,NA,NA,NA,455.333333333333,NA,NA,419.5,NA,NA,NA,NA,NA,NA,NA,NA
"82","Fiji","55-68","FJI",242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Fiji","56","FJI",242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Fiji","79","FJI",242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","Finland","55-68","FIN",246,1800,14200,16000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Finland","56","FIN",246,10400,62400,72800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Finland","79","FIN",246,400,2000,2400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Georgia","55-68","GEO",268,NA,32295.476605607,32295.476605607,14119.185107243,NA,NA,18176.291498364,NA,43.718769905974,NA,56.281230094026,NA,NA,43.718769905974,56.281230094026
"89","Georgia","56","GEO",268,NA,22028.969492523,22028.969492523,13228.23604816,NA,NA,8800.733444363,NA,60.0492730840173,NA,39.9507269159827,NA,NA,60.0492730840173,39.9507269159827
"90","Georgia","79","GEO",268,NA,3167.447409177,3167.447409177,1804.975818678,NA,NA,1362.471590499,NA,56.9851866663506,NA,43.0148133336494,NA,NA,56.9851866663506,43.0148133336494
"91","Germany","55-68","DEU",276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Germany","56","DEU",276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Germany","79","DEU",276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Greece","55-68","GRC",300,22513.190305955,85182.6196013258,107695.809907281,48444.5442127229,9495.87763616201,13017.312669793,36738.0753886029,8.81731391809704,44.9827567613173,12.0871115422226,34.112817778363,42.179173662696,57.820826337304,56.8713951736334,43.1286048263666
"95","Greece","56","GRC",300,83476.8923342779,196636.033103237,280112.925437514,92717.1245032061,35797.9136224272,47678.9787118506,103918.908600031,12.7798149858718,33.0999093877547,17.021341888233,37.0989337381406,42.8836203905109,57.116379609489,47.1516451181296,52.8483548818703
"96","Greece","79","GRC",300,3628.11828855533,14482.7504083288,18110.8686968841,7919.44552393601,1891.19571317642,1736.92257537891,6563.30488439278,10.442324688168,43.7275851119086,9.59049841533959,36.2395917845838,52.1260764606843,47.8739235393156,54.6819167675614,45.3180832324386
"97","Guam","55-68","GUM",316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Guam","56","GUM",316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Guam","79","GUM",316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","Hungary","55-68","HUN",348,NA,NA,39356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","Hungary","56","HUN",348,NA,NA,145195,73446,8400,11953,51396,5.78532318606013,50.5843865146871,8.23237714797341,35.3979131512793,NA,NA,NA,NA
"102","Hungary","79","HUN",348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","India","55-68","IND",356,NA,NA,720042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","India","56","IND",356,NA,NA,9267818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","India","79","IND",356,NA,NA,1192290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","Israel","55-68","ISR",376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","Israel","56","ISR",376,NA,NA,129774.083751399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","Israel","79","ISR",376,NA,NA,17251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","Italy","55-68","ITA",380,147736.875,288177.85,435914.725,161499.125,62796.225,84940.65,126678.725,14.4056214205657,37.0483298080834,19.485611549369,29.0604372219819,42.5054509918394,57.4945490081606,56.0414775111966,43.9585224888034
"110","Italy","56","ITA",380,307659.625,806802.3,1114461.925,424675.175,119884.225,187775.4,382127.125,10.7571395945178,38.1058487036244,16.848974001512,34.2880377003458,38.966512099207,61.033487900793,52.6368324681276,47.3631675318724
"111","Italy","79","ITA",380,15943.925,32488.475,48432.4,22823.075,9506.8,6437.125,9665.4,19.6290086801397,47.1235681073001,13.2909477952775,19.9564754172826,59.6264721516189,40.3735278483811,70.2497577987271,29.7502422012729
"112","Japan","55-68","JPN",392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","Japan","56","JPN",392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","Japan","79","JPN",392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","Kazakhstan","55-68","KAZ",398,39213,181862,221075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Kazakhstan","56","KAZ",398,30142,113236,143378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Kazakhstan","79","KAZ",398,663,8790,9453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","Korea, Republic of","55-68","KOR",410,NA,NA,86455,32489,6641,7271,40054,7.68145277890232,37.5790873865016,8.41015557226303,46.329304262333,NA,NA,NA,NA
"119","Korea, Republic of","56","KOR",410,NA,NA,21917,10859,952,1373,8733,4.34366017246886,49.546014509285,6.26454350504175,39.8457818132044,NA,NA,NA,NA
"120","Korea, Republic of","79","KOR",410,NA,NA,55201,22485,2226,3407,27083,4.03253564247025,40.7329577362729,6.17198963786888,49.062516983388,NA,NA,NA,NA
"121","Lebanon","55-68","LBN",422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Lebanon","56","LBN",422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","Lebanon","79","LBN",422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","Lithuania","55-68","LTU",440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","Lithuania","56","LTU",440,NA,NA,16397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Lithuania","79","LTU",440,NA,NA,2641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","Luxembourg","55-68","LUX",442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Luxembourg","56","LUX",442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Luxembourg","79","LUX",442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","Macao, China","55-68","MAC",446,NA,24400,24500,10900,NA,NA,13500,NA,44.4897959183673,NA,55.1020408163265,NA,NA,44.672131147541,55.327868852459
"131","Macao, China","56","MAC",446,1600,19100,20700,9200,500,1100,9900,2.41545893719807,44.4444444444444,5.31400966183575,47.8260869565217,31.25,68.75,48.1675392670157,51.8324607329843
"132","Macao, China","79","MAC",446,NA,1600,1600,700,NA,NA,900,NA,43.75,NA,56.25,NA,NA,43.75,56.25
"133","Malaysia","55-68","MYS",458,NA,NA,201027.653608823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","Malaysia","56","MYS",458,NA,NA,1266805.84411324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","Malaysia","79","MYS",458,NA,NA,28051.5757145977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","Maldives","55-68","MDV",462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","Maldives","56","MDV",462,996,11342,12338,1469,297,699,9873,2.40719727670611,11.9063057221592,5.66542389366186,80.0210731074728,29.8192771084337,70.1807228915663,12.9518603420913,87.0481396579087
"138","Maldives","79","MDV",462,225,1173,1398,420,33,192,753,2.36051502145923,30.0429184549356,13.7339055793991,53.862660944206,14.6666666666667,85.3333333333333,35.8056265984655,64.1943734015345
"139","Mali","55-68","MLI",466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","Mali","56","MLI",466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
