"","Mode","Units","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","Country"
"265","Air","Thousands",892,1183,1349,1496,1823,1735,1391,1302,1730,2282,2084,2110,2230,2923,3258,3205,3531,3305,3518,3724,4408,4936.8,5441,6113.4,7029.1,1840.7,2163.4,4438.3,"HUNGARY"
"266","Water","Thousands",70,78,83,97,89,138,153,168,256,256,290,249,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HUNGARY"
"267","Land","Thousands",38278,38572,35882,32031,26891,29269,29136,30270,34097,34097,36181,38604,39942,36631,37366,36700,37773,40260,40093,42260,43937,47953.3,49521,51553.5,54368.1,29800,34524.1,41905,"HUNGARY"
"268","Air","Thousands",185,195,195,225,255,296,296,278,309,349,363,409,470,488,480,473,553,660,791,979,1271,1772.4,2201.7,2323.1,1994.3,479.9,687.9,NA,"ICELAND"
"269","Water","Thousands",26,28,28,30,26,32,33,37,39,56,66,68,69,73,83,85,75,105,109,123,118,118.5,151,165.3,207.5,7.8,29,NA,"ICELAND"
"270","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ICELAND"
"271","Air","Thousands",1833,1996,2048,2041,2089,2214,2210,1953,2265,2960,3390,3873,4542,4707,4642,5302,5804,6032,6341,6611.7,6787,7406.2,7992.5,8405.9,8462.5,2173.9,1336,NA,"INDIA"
"272","Water","Thousands",1,2,1,1,NA,NA,23,14,14,17,16,27,31,37,53,40,50,46,35,30.7,54,74.7,68.2,81.8,101.1,41.2,10.8,NA,"INDIA"
"273","Land","Thousands",290,290,325,317,393,427,304,417,447,480,513,547,509,539,473,434,454,500,592,1036.6,1186,1323.5,1975,2070.3,2366.7,529.7,180.3,NA,"INDIA"
"274","Air","Thousands",2700,3210,3138,2346,2449,2760,2766,2745,2178,2790,2889,2822,3304,4091,4396,4998,5446,5755,6429,6977.5,7331,8555.6,9670.7,10088.8,9834.7,1713.6,137.2,3296,"INDONESIA"
"275","Water","Thousands",1598,1796,2024,2223,2256,2271,2355,2256,2262,2509,2082,2019,2163,2095,1874,1955,2148,2241,2325,2398.5,2744.5,2628,2783,2753.2,4160.6,1024.6,415.5,1726.8,"INDONESIA"
"276","Land","Thousands",26,28,23,38,23,33,33,32,27,22,31,30,39,48,54,50,56,48,48,59.4,331.3,335.7,1586,2968.3,2111.6,1314.8,1004.8,866.2,"INDONESIA"
"277","Air","Thousands",151,169,321,413,236,257,395,429,NA,545,NA,NA,NA,730,635,636,637,862,1253,1518,1664,1615.9,1629.1,1441.7,1573,194.6,344.7,1224.4,"IRAN, ISLAMIC REPUBLIC OF"
"278","Water","Thousands",10,6,5,20,10,9,15,11,NA,33,NA,NA,NA,22,15,19,27,19,28,29,26,27.8,28.2,21.4,22,0.5,0.4,22.3,"IRAN, ISLAMIC REPUBLIC OF"
"279","Land","Thousands",291,398,438,574,1075,1075,992,1144,NA,1080,NA,NA,NA,1282,1466,2283,2689,2952,3488,3420,3547,3298.3,3209.7,5831.7,7512.3,1354.5,644.3,2861.6,"IRAN, ISLAMIC REPUBLIC OF"
"280","Air","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IRAQ"
"281","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IRAQ"
"282","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IRAQ"
"283","Air","Thousands",2666,3043,3305,3708,4101,4450,4322,4439,4819,4980,5546,6304,6578,6468,5703,4845,5339,5314,5626,6010,6931,7622,7924,8477,8659,NA,NA,NA,"IRELAND"
"284","Water","Thousands",1354,1451,1502,1660,1605,1545,1343,1302,1236,1213,1082,964,1006,892,787,855,791,730,781,814,816,803,798,796,694,NA,NA,NA,"IRELAND"
"285","Land","Thousands",798,795,780,696,697,650,688,735,710,761,705,733,748,665,700,1434,1500,1506,1853,1989,1781,1675,1616,1653,1598,NA,NA,NA,"IRELAND"
"286","Air","Thousands",1678,1612,1561,1553,1827,1955,1060,778,972,1339,1653,1568,1747,2114,1963,2313,2438,2482,2580.2,2528,2509,2623,3205,3634.4,3968.2,739.8,380.8,2450,"ISRAEL"
"287","Water","Thousands",22,17,19,16,18,16,6,3,4,5,5,2,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISRAEL"
"288","Land","Thousands",515,471,430,373,468,446,130,80,88,162,245,255,319,458,358,490,382,404,381.4,399,290,277,408,486.4,583.4,91.6,15.8,225,"ISRAEL"
"289","Air","Thousands",8500,8558.4,8984,9200,9507,10773,10926,11567,12062,16927,18592,21520,23226,21368,19930,21092,23079,23276,24882.7,25736.7,28114,30483.8,34116.5,37229.5,39396.2,9976.4,11543.9,31761.6,"ITALY"
"290","Water","Thousands",2029,2164.8,2497,2338,2403,2952,2729,2913,2932,2022,2126,1901,1650,2118,2365,2552,2062,1820,1561.9,1511,1609,1701.5,1633.7,1701,1727.9,627.9,1026.5,1355.1,"ITALY"
"291","Land","Thousands",45177,49082.1,46518,46962,47612,48977,47304,49081,48031,39531,38512,42932,45394,47232,49397,49581,50725,51198,50317.7,50446.4,51344.7,52739.2,54181.2,54298.2,54274.7,27814.5,27615.3,41199.9,"ITALY"
"292","Air","Thousands",1147,1162,1192,1225,1248,1323,1277,1266,1350,1415,1479,1679,1701,1767,1831,1922,1952,1986,2008.45,2080,2123,2181.7,2353,2473,2681,880.4,1464,2478.4,"JAMAICA"
"293","Water","Thousands",605,658,712,674,764,908,840,865,1133,1100,1136,1337,1180,1092,922,910,1125,1320,1265,1424,1569,1655.6,1923,1846,1553,449.3,71,852.3,"JAMAICA"
"294","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JAMAICA"
"295","Air","Thousands",3652,4143,4530,4464,4717,5072,5061,5496,5428,6399,7022,7607,8486,8448,7147,8741,6681,8567,10635,13511,19117.4,22618,26687,29323,30644.3,4278.2,353,4195.9,"JAPAN"
"296","Water","Thousands",80,102,140,93,185,200,225,276,299,357,428,501,666,698,435,703,454,605,620,639,570.9,601,741.8,779,542.9,29.1,NA,2.2,"JAPAN"
"297","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JAPAN"
"298","Air","Thousands",315,319,316,716,760,782,818,948,1028,1407,1449,1885,1705,1735,1883,2186,2270,2604,2686,2910,2095.3,1904.5,2033,2221.1,2436.9,573.4,1207.4,2173.9,"JORDAN"
"299","Water","Thousands",555,531,394,337,235,211,298,221,288,370,356,425,586,607,507,511,366,408,330,269,191.8,161.2,152.8,166.5,190.2,36.9,54.6,110,"JORDAN"
"300","Land","Thousands",2407,2314,2358,3594,3584,3083,3424,5574,5340,6222,6573,6683,6179,6889,6870,8439,6077,5053,3963,3762,2522.1,2170.3,2379.3,2534.5,2733.5,629.5,1096.8,2765.2,"JORDAN"
"301","Air","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,767,274,298,504,584,568,521,565,785,850,944,874,NA,NA,NA,NA,NA,NA,NA,NA,"KAZAKHSTAN"
"302","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,30,12,14,15,4,4,4,6,6,7,6,NA,NA,NA,NA,NA,NA,NA,NA,"KAZAKHSTAN"
"303","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,2470,3987,4055,4189,4711,3545,3249,3528,4894,5307,5890,5453,NA,NA,NA,NA,NA,NA,NA,NA,"KAZAKHSTAN"
"304","Air","Thousands",614,633,631,564,611,654,627,539,547,764,842,964,1118,764,962,1120,1301,1292,1132.8,887.6,771,920.3,996.4,1490.1,1581.7,428.6,699.2,NA,"KENYA"
"305","Water","Thousands",2,2,2,2,2,2,2,6,1,4,5,12,16,10,28,28,35,6,6,23.3,7,6.3,6.2,0.7,0.8,1.5,0.9,NA,"KENYA"
"306","Land","Thousands",357,368,367,328,356,381,365,456,598,592,632,625,683,429,500,461,487,413,380.7,439.4,403,413.2,446.2,534.4,466.3,137.7,170.3,NA,"KENYA"
"307","Air","Thousands",3.9,4.2,5.1,5.7,5.1,4.8,4.6,4.9,4.9,3.4,4.1,4.4,4.7,3.9,3.9,4.7,5.3,4.9,5.9,5,3.9,5.7,5.8,7.1,7.9,1.4,0.034,NA,"KIRIBATI"
"308","Water","Thousands",NA,NA,NA,NA,15.2,8.6,9.9,114.6,125.2,60.5,46.1,6.4,27.6,NA,NA,NA,NA,NA,NA,3.3,4.3,1.9,1.7,1.9,4.1,NA,0.033,NA,"KIRIBATI"
"309","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KIRIBATI"
"310","Air","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOREA, DEMOCRATIC PEOPLE´S REPUBLIC OF"
"311","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOREA, DEMOCRATIC PEOPLE´S REPUBLIC OF"
"312","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOREA, DEMOCRATIC PEOPLE´S REPUBLIC OF"
"313","Air","Thousands",2721,2656,2848,3275,3646,4045,3948,4067,3536,4529,4776,5116,5448,5822,6725,7518,8375,9759,9892,11557.4,10732.5,13714.9,11781.9,13955.8,15739.8,2240.5,674,2878.8,"KOREA, REPUBLIC OF"
"314","Water","Thousands",201,223,239,228,271,324,327,326,314,400,404,1039,1001,1069,1093,1279,1420,1381,2284,2644.1,2499.2,3526.9,1553.9,1391.1,1763,278.6,293,319.2,"KOREA, REPUBLIC OF"
"315","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOREA, REPUBLIC OF"
"316","Air","Thousands",807,859,878,903,961,929,994,1139,1272,1525,1657,1857,2126,2248,2425,2512,2571,2670,2914,3114.4,3390,3604.4,3942,4314,4277.2,1027.3,890.3,NA,"KUWAIT"
"317","Water","Thousands",37,34,28,41,57,62,57,56,52,48,41,39,31,33,35,27,24,21,30,28.2,22,30.5,39,41,38.2,3.1,1.3,NA,"KUWAIT"
"318","Land","Thousands",607,672,731,819,866,953,1021,1120,1278,1482,1776,2003,2325,2454,2628,2669,2979,3038,3273,3384.9,3529,3419.9,3426,4153,4249.6,1130.5,714,NA,"KUWAIT"
"319","Air","Thousands",NA,NA,NA,44,24,14,46,40,NA,NA,NA,56,91,110,95,131,238,272,370,388,386,308,408,408,219.2,67.9,144,331.4,"KYRGYZSTAN"
"320","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KYRGYZSTAN"
"321","Land","Thousands",NA,NA,NA,246,141,158,152,143,NA,NA,NA,129,152,195,188,129,99,76,44,25,16,13,13,15,15.5,1.3,0.4,14.3,"KYRGYZSTAN"
"322","Air","Thousands",35,47,51,65,66,92,95,147,159,242,438,389,650,556,582,1030,1329,340,421,500,520,578.9,520.2,613,1906.8,175.2,NA,NA,"LAO PEOPLE´S DEMOCRATIC REPUBLIC"
"323","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAO PEOPLE´S DEMOCRATIC REPUBLIC"
"324","Land","Thousands",311,356,412,435,548,645,579,589,477,653,657,826,974,1181,1426,1483,1395,2990,3358,3659,4164,3660.1,3348.7,3573.4,2884.2,711.2,NA,NA,"LAO PEOPLE´S DEMOCRATIC REPUBLIC"
"325","Air","Thousands",107,112,127,142,140,140,156,155,188,299,494,641,857,982,1277,1539,1698,1597,1628,1652,1789,1586.6,2094.7,2087.7,2677.2,653.1,838.5,NA,"LATVIA"
"326","Water","Thousands",126,102,130,147,121,126,124,174,188,208,210,231,318,328,319,344,399,429,433,418,347,317.2,517.5,924.5,549.1,163.4,NA,NA,"LATVIA"
"327","Land","Thousands",1400,1536,1585,1499,1477,1616,1781,1968,2148,2620,3086,3777,4034,4186,3130,3159,3441,3543,3761,4176,4706,4893.1,5113.6,4763,5116,2387.1,1098.3,NA,"LATVIA"
"328","Air","Thousands",NA,NA,381,418,448,481,515,582,NA,NA,NA,673,663,900,1261,1406,1368,1287,1203,1282.3,1422,1564.1,1715.9,1801.8,1737.9,378.3,809.8,1288.4,"LEBANON"
"329","Water","Thousands",NA,NA,2,3,2,1,1,1,NA,NA,NA,387,75,11,12,18,26,56,7,7.1,19,16,12.9,12.7,11,4.4,7.3,9.8,"LEBANON"
"330","Land","Thousands",NA,NA,174,182,223,260,321,374,NA,NA,NA,21,352,431,588,759,284,72,64,65.3,77,108.3,128,149.4,187.4,31.5,72.9,167.8,"LEBANON"
"331","Air","Thousands",8,12,7,9,9,9,9,9,11,10,11,13,15,15,14,13,12,11,14,NA,12.4,13.7,12.1,19.2,15.4,NA,2.1,NA,"LESOTHO"
"332","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LESOTHO"
"333","Land","Thousands",201,300,306,280,299,293,286,279,318,294,293,344,285,278,330,413,386,412,419,1079,1070,1182.6,1125.1,1153.4,1126.9,NA,276.5,NA,"LESOTHO"
"334","Air","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LIBERIA"
"335","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LIBERIA"
"336","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LIBERIA"
"337","Air","Thousands",NA,NA,NA,NA,NA,NA,343,309,342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LIBYA"
"338","Water","Thousands",NA,51,36,34,39,38,20,18,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LIBYA"
"339","Land","Thousands",NA,1225,877,816,926,925,590,531,591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LIBYA"
"340","Air","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LIECHTENSTEIN"
"341","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LIECHTENSTEIN"
"342","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LIECHTENSTEIN"
"343","Air","Thousands",NA,106,132,132,138,149,148,161,185,199,320,400,517,579,422,510,605,655,704,736,785,908,1044.1,1233.9,1325.7,345.9,436.8,1023,"LITHUANIA"
"344","Water","Thousands",NA,65,64,40,56,58,40,38,55,66,95,170,41,39,38,49,26,33,31,29,31,34,39.7,48.9,26.9,57.1,18.4,26.9,"LITHUANIA"
"345","Land","Thousands",NA,661,816,1244,1228,876,1082,1229,1251,1536,1585,1610,928,993,881,948,1144,1212,1277,1297,1256,1354,1439.6,1542.1,1521.9,533.7,492.5,1118.8,"LITHUANIA"
"346","Air","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LUXEMBOURG"
"347","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LUXEMBOURG"
"348","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LUXEMBOURG"
"349","Air","Thousands",32.67,408.995,537.209,512.18,672.89,834.203,861.795,905.387,654.603,861.783,1040.101,1236.178,1473.754,1665.227,1619.099,1634.062,1681.68,1767.771,1949.73,2055.199,2089.774,2413.317,2744.635,3295.8,3847.376,436.936,501.387,241.186,"MACAO, CHINA"
"350","Water","Thousands",5989.222,6041.204,4838.576,4687.055,4436.328,5190.517,5267.734,5700.711,5174.587,6304.563,6719.895,7655.855,8980.381,9173.206,8684.809,10244.087,11020.999,11484.84,11557.593,12080.543,11413.908,10777.447,11236.083,10355.396,6267.619,426.298,200.821,166.045,"MACAO, CHINA"
"351","Land","Thousands",1730.603,1700.856,1624.585,1749.3,2334.706,3137.492,4149.444,4924.743,6058.686,9506.21,10951.191,13106.089,16549.235,12094.752,11448.843,13087.262,15299.6,14829.681,15817.499,17389.89,17210.946,17759.572,18629.788,22152.467,29291.186,5033.614,7003.735,5293.108,"MACAO, CHINA"
"352","Air","Thousands",75,83,101,121,138,160,170,62,139,229,277,312,344,375,163,196,225,256,196,222,244,293,255,291,384,68.3,7.8,NA,"MADAGASCAR"
"353","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,40,30,69,102,18.8,NA,NA,"MADAGASCAR"
"354","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MADAGASCAR"
"355","Air","Thousands",54,59,70,75,86,74,84,94,114,114,106,201,232,227,251,224,227,198.5,219.8,230.4,220.6,233.2,129.2,134.4,347.3,38.6,136.1,NA,"MALAWI"
"356","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,5,9,15,21,4,4,3.1,9.1,4.7,2,2.3,1.2,1.3,1,0.8,0.4,NA,"MALAWI"
"357","Land","Thousands",138,134,137,145,168,154,182,289,310,310,325,432,494,500,483,518,536,568.8,566.2,584,582.3,613.8,706.9,735.5,630,159.5,295.5,NA,"MALAWI"
"358","Air","Thousands",1830,1680,1906,1559,1933,3265,2827,2434,1810,1988,2846,3348,4032,4883,NA,NA,NA,NA,7095.7,7789,7450.4,6192,6606.3,8965.4,9613.9,1648,69.3,NA,"MALAYSIA"
"359","Water","Thousands",207,224,201,427,762,371,420,245,265,330,449,523,1005,832,NA,NA,NA,NA,737.6,836.6,971.4,1368,1059.8,1179.5,1289.2,313,1.6,NA,"MALAYSIA"
"360","Land","Thousands",5085,4871,3752,3217,4761,5973,8815,9965,8010,12333,12125,12365,14180,14047,NA,NA,NA,NA,17882,18811.7,17299.4,19197,18282.3,15687.4,15197.6,2372,63.8,NA,"MALAYSIA"
"361","Air","Thousands",315,339,366,396,430,467,461,485,564,617,395,602,676,683,656,792,931,958,1125,1205,1234,1286,1390,1484,1703,555,1322,1675,"MALDIVES"
"362","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MALDIVES"
"363","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MALDIVES"
"364","Air","Thousands",42,98,75,83,82,86,89,96,110,113,143,153,164,NA,116,129,130,101,121,152,159,173.2,193,203,217,75,168,NA,"MALI"
"365","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MALI"
"366","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,40,30,33,21,16,0.1,NA,NA,NA,NA,NA,NA,NA,"MALI"
"367","Air","Thousands",1039,973,1040,1102,1143,1177,1145,1098,1097,1127,1151,1104,1224,1270,1166,1309,1375,1401,1539,1641.3,1737.7,1918,2226.6,2552,2702,640,944,2231.5,"MALTA"
"368","Water","Thousands",77,81,71,80,71,39,35,35,29,29,20,20,20,21,16,30,40,42,43,48.5,45,48,47.2,47,51,18.6,24,55.1,"MALTA"
"369","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MALTA"
"370","Air","Thousands",5.5,6.2,6.4,6.4,4.6,5.2,5.4,6,7.2,7,7.5,5.8,7.2,6,4.9,4.6,4.6,4.6,NA,4.9,6.3,5.4,6,6.8,6.1,1.2,0.035,NA,"MARSHALL ISLANDS"
"371","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.7,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MARSHALL ISLANDS"
"372","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MARSHALL ISLANDS"
"373","Air","Thousands",NA,425,464,498,511,475,419,393,384,404,439,465,469,457,418,451,475,462,476,473.1,461.8,495.9,519.5,515,517.2,300.2,282.1,522.1,"MARTINIQUE"
"374","Water","Thousands",NA,52,49,51,53,51,41,54,70,67,45,38,32,24,24,27,21,26,14,16.4,25.5,23.4,16.2,22,39.1,12.1,8.9,34,"MARTINIQUE"
"375","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MARTINIQUE"
"376","Air","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MAURITANIA"
"377","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MAURITANIA"
"378","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MAURITANIA"
"379","Air","Thousands",416,480,529,541,564,646,650,668,690,708,748,775,895,914,848,911,940,948.5,980,1035,1132,1247,1312.3,1359.7,1338.2,279.3,178.7,990.1,"MAURITIUS"
"380","Water","Thousands",6,6,7,17,14,10,10,14,12,11,13,13,12,16,23,24,25,16.9,13,3,19,28,29.6,39.7,45.2,29.7,1,7.2,"MAURITIUS"
"381","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MAURITIUS"
"382","Air","Thousands",5626,6317,6978,7086,7301,7973,7662,7334,7696,8870,9936,10153,10617,11007,8675,10619,10844,11361,12221.3,13463,15248,16878,18548,19368,19634.9,8337.6,14602.1,21329.1,"MEXICO"
"383","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEXICO"
"384","Land","Thousands",14615,15078,12373,12306,11742,12668,12148,12333,10969,11748,11979,11199,10989,11924,12671,12671,12559,12042,11929.3,15883,16845,18201,20743,21944.7,25389.5,15945.9,17258.3,16996.4,"MEXICO"
"385","Air","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MICRONESIA, FEDERATED STATES OF"
"386","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MICRONESIA, FEDERATED STATES OF"
"387","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MICRONESIA, FEDERATED STATES OF"
"388","Air","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOLDOVA, REPUBLIC OF"
"389","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOLDOVA, REPUBLIC OF"
"390","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOLDOVA, REPUBLIC OF"
"391","Air","Thousands",NA,NA,NA,NA,NA,NA,169,169,151,168,196,222,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MONACO"
"392","Water","Thousands",NA,NA,NA,NA,NA,NA,101,93,84,82,90,91,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MONACO"
"393","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MONACO"
"394","Air","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MONGOLIA"
"395","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MONGOLIA"
