"","Mode","Units","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","Country"
"65","Water","Thousands",NA,NA,NA,NA,0.1,0.3,NA,NA,NA,NA,NA,NA,7,27,8,25,23,19,20.2,19.3,21.4,22.4,23.2,18.7,19.9,22.4,NA,NA,"BENIN"
"66","Land","Thousands",NA,NA,NA,NA,44,34,NA,NA,NA,NA,NA,NA,97,90,101,86,113,106,103.3,125.6,133.5,139.3,145.2,161.4,174.5,181.4,NA,NA,"BENIN"
"67","Air","Thousands",387,390,380,370,355,332,278,284,257,272,270,299,306,264,236,232,236,232,236,224,220,244,269.6,282,269,42.1,72.2,145.9,"BERMUDA"
"68","Water","Thousands",170,182,182,188,194,207,180,200,226,206,247,336,354,286,318,348,416,378,340,356,377,398,418,484,536,9.3,14.2,402.7,"BERMUDA"
"69","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BERMUDA"
"70","Air","Thousands",4.8,5.2,5.4,6.2,7.2,7.6,6.4,4.1,5.1,6.6,11.7,14,16,23,19,35,57,59.5,60.8,65.9,86,103.5,126.9,142.4,142.9,11.2,0.001,10.9,"BHUTAN"
"71","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BHUTAN"
"72","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,1.5,1.1,2.6,1.9,3.3,5,5,4,6,9,45.9,55.5,67.5,69,106,127.8,131.7,172.7,18.6,NA,10,"BHUTAN"
"73","Air","Thousands",168,194,245,279,236,233,208,199,222,240,267,242,247,203.7,226.2,238.8,286.7,291.5,330.7,375.4,410.3,397.9,417.6,415,383,107.5,127.2,264.2,"BOLIVIA, PLURINATIONAL STATE OF"
"74","Water","Thousands",4,5,5,5,5,6,4,2,2,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOLIVIA, PLURINATIONAL STATE OF"
"75","Land","Thousands",111,114,105,103,101,80,104,133,204,237,256,278,325,325.9,373.1,439.8,424.6,506.4,467.6,495.1,471.3,562.9,691,726.9,856.3,215.7,52.7,459.9,"BOLIVIA, PLURINATIONAL STATE OF"
"76","Air","Thousands",59,65,63,62,61,51,50,52,62,63,63,64,74,74,67,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BONAIRE"
"77","Water","Thousands",NA,NA,20,20,15,44,43,42,45,53,40,62,98,176,213,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BONAIRE"
"78","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BONAIRE"
"79","Air","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262,290,334,395,432,535,562,570,113,360,658.3,"BOSNIA AND HERZEGOVINA"
"80","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,14,3,3,3,5,7,8,7,11,10.7,"BOSNIA AND HERZEGOVINA"
"81","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13152,12668,12394,12722,14622,15593,16350,14630,7267,9401,13170.8,"BOSNIA AND HERZEGOVINA"
"82","Air","Thousands",28,30,34,37,41,NA,77,95,71,66,NA,68,83,85,NA,NA,NA,NA,NA,130,128.7,119.5,119.4,129.3,120.4,14.8,36.6,NA,"BOTSWANA"
"83","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTSWANA"
"84","Land","Thousands",493,482,573,713,803,NA,1111,1179,1335,1457,NA,1358,1653,2016,NA,NA,NA,NA,NA,1953,1531.5,1592.6,1655.5,1700.9,1435,343.4,301,NA,"BOTSWANA"
"85","Air","Thousands",1343,1894,2005,2421,2534,2723,2960,2815,3083,3569,3938,3713,3747,3691,3349,3610,3808,3987,4066,4540,4318.4,4368.9,4187.5,4328.1,4288.5,1185.6,585.4,2467.1,"BRAZIL"
"86","Water","Thousands",43,53,70,123,127,161,134,79,57,74,106,123,129,110,154,151,182,150,135,130,116.8,136.3,149.7,204.8,225.2,123.5,1.6,81,"BRAZIL"
"87","Land","Thousands",605,718,775,2274,2446,2429,1678,891,993,1151,1314,1181,1150,1249,1299,1400,1443,1541,1612,1760,1870.6,2041.5,2251.6,2088.5,1839.4,837.3,158.9,1081.9,"BRAZIL"
"88","Air","Thousands",104,108,108,128,129,136,144,135,153,220,205,165,147,132,105,109,93,86,88,84.4,NA,NA,NA,NA,NA,NA,NA,NA,"BRITISH VIRGIN ISLANDS"
"89","Water","Thousands",261,304,257,264,355,383,391,409,504,593,616,661,801,802,752,733,738,667,654,688.2,NA,NA,NA,NA,NA,NA,NA,NA,"BRITISH VIRGIN ISLANDS"
"90","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BRITISH VIRGIN ISLANDS"
"91","Air","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,119,126,158,179,226,157,214,242,209,225,201,218,218.8,259,278,333.2,62.3,3.5,NA,"BRUNEI DARUSSALAM"
"92","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.1,11,19,15.1,1.5,NA,NA,"BRUNEI DARUSSALAM"
"93","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4013.3,4046,4224,4100.6,1006.8,106.8,NA,"BRUNEI DARUSSALAM"
"94","Air","Thousands",827,947,981,933,651,776,1008,1185,1409,1715,2007,2203,2318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BULGARIA"
"95","Water","Thousands",90,62,91,77,92,100,117,104,120,156,178,169,211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BULGARIA"
"96","Land","Thousands",7088,5801,6471,4230,4313,4046,3979,4274,4712,5111,5097,5127,5197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BULGARIA"
"97","Air","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,102,97,95,103,109,133,54,94.5,112,"BURKINA FASO"
"98","Water","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BURKINA FASO"
"99","Land","Thousands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BURKINA FASO"
"100","Air","Thousands",14,11,3,6,10,12,14,18,17,39,49,49,44,46,49,33,31,41,92,86,46,74,89,NA,NA,NA,NA,NA,"BURUNDI"
"101","Water","Thousands",1,1,1,1,2,2,3,21,21,46,49,38,35,36,38,25,26,14,21,26,13,15,16,NA,NA,NA,NA,NA,"BURUNDI"
"102","Land","Thousands",18,15,5,8,14,15,19,35,36,48,50,126,113,119,125,84,87,92,121,123,72,98,194,NA,NA,NA,NA,NA,"BURUNDI"
